odm_agreement_schema,,,,,,,,,,
field_name,label,en,Context,th,km,vi,my,lo,,
title_translated,label,Contract Name,title_translated.label,ชื่อสัญญา,Contract Name,Contract Name,စာချုပ်အမည်,ຊື່ສັນຍາ,,
title_translated,form_placeholder,Main title,title_translated.form_placeholder,หัวข้อหลัก,,Tiêu đề chính,အဓိကခေါင်းစဉ်,ຊື່ເອກະສານ,,
name,label,URL,name.label,URL,,URL,ယူအာရ်အယ်လ်,URL,,
notes_translated,label,Objective,notes_translated.label,วัตถุประสงค์,Objective,Objective,ရည်ရွယ်ချက်,ຈຸດປະສົງ,,
notes_translated,form_placeholder,Abstract or summary of book or article,notes_translated.form_placeholder,บทคัดย่อหรือเรื่องย่อของหนังสือหรือบทความ,,Tóm tắt hoặc sơ lược cuốn sách hoặc bài viết,စာအုပ် သို့မဟုတ် ဆောင်းပါး၏ ကောက်နုတ်ချက် သို့မဟုတ် အကျဉ်းချုပ်,ບົດຄັດຫຍໍ້ ຫຼື ບົດສະຫຼຸບຂອງປຶ້ມ ຫຼື ບົດຄວາມ,,
odm_spatial_range,label,Geographic area (spatial range),odm_spatial_range.label,พื้นที่ทางภูมิศาสตร์ (ช่วงข้อมูล),,Vùng địa lý (phạm vi không gian),ပထဝီဧရိယာ (spatial range),ພື້ນທີ່ພູມສັນຖານ (ຂອບເຂດທີ່ຕັ້ງ),,
odm_spatial_range,form_placeholder,"The geographic area that the dataset is relevant to (i.e. Cambodia, Laos).",odm_spatial_range.form_placeholder,พื้นที่ที่ชุดข้อมูลเกี่ยวข้อง (เช่น กัมพูชา ลาว เป็นต้น),,"Khu vực địa lý mà bộ dữ liệu có liên quan đến (ví dụ: Campuchia, Lào).",ဤအချက်အလက်အစုနှင့် သက်ဆိုင်သော ပထဝီဧရိယာ (ဆိုလိုသည်မှာ ကမ္ဘောဒီးယား၊ လာအို),"ພື້ນທີ່ພູມສັນຖານທີ່ກ່ຽວຂ້ອງກັບຊຸດຂໍ້ມູນ (ເຊັ່ນ ກຳປູເຈຍ, ລາວ)",,
taxonomy,label,Topics,taxonomy.label,หัวข้อเรื่อง,,Chủ đề,ခေါင်းစဉ်များ,ຫົວຂໍ້,,
taxonomy,form_placeholder,"e.g. economy, mental health, government",taxonomy.form_placeholder,เช่น เศรษฐศาสตร์ สุขภาพจิต รัฐบาล เป็นต้น,,"ví dụ: kinh tế, sức khỏe tinh thần, chính phủ",ဥပမာ စီးပွားရေး၊ စိတ်ကျန်းမာရေး၊ အစိုးရ,"ເຊັ່ນ ເສດຖະກິດ, ສຸຂະພາບຈິດ, ລັດຖະບານ",,
odm_agreement_document_type,label,Document type,odm_agreement_document_type.label,ประเภทเอกสาร,,Loại tài liệu,စာရွက်စာတမ်းအမျိုးအစား,ປະເພດເອກະສານ,,
odm_agreement_participating_share,label,Participating share,odm_agreement_participating_share.label,หุ้นส่วนแบบมีส่วนร่วม,,Tham gia chia sẻ,ပါဝင်နေသော အစုရှယ်ယာ,ຫຸ້ນບູລິມະສິດຮ່ວມ,,
odm_agreement_participating_share,form_placeholder,"Comma separated values with following format: company1, %
company2, %
company3, %",odm_agreement_participating_share.form_placeholder,"จุลภาค (,) แบ่งมูลค่าตามรูปแบบต่อไปนี้: บริษัท1, %
บริษัท2, %
บริษัท3, %",,"Các giá trị được phân tách bằng dấu phẩy với định dạng sau: company1, %
company2, %
company3, %","ဤပုံစံအတိုင်း ကော်မာခံထားသော တန်ဖိုးဖော်ပြချက်များ - ကုမ္ပဏီ ၁, %
ကုမ္ပဏီ ၂,  %
ကုမ္ပဏီ ၃,  %","ໃຊ້ໝາຍຈຸດເພື່ອແຍກຄ່າຕາມຮູບແບບຕໍ່ໄປນີ້: ບໍລິສັດ1, %
ບໍລິສັດ2, %
ບໍລິສັດ3, %",,
odm_agreement_contracting_parties,label,Contracting Parties,odm_agreement_contracting_parties.label,ภาคีคู่สัญญา,,Các bên ký kết,စာချုပ်ချုပ်ဆိုသော အဖွဲ့အစည်းများ,ຄູ່ສັນຍາ,,
odm_agreement_government_entity,label,Government Entity (multiple),odm_agreement_government_entity.label,หน่วยงานของรัฐ (หลายแห่ง),,Đối tượng thuộc chính phủ (nhiều),သက်ဆိုင်ရာ အစိုးရ (မျိုးစုံ),ໜ່ວຍງານລັດຖະບານ (ຫຼາຍພາກສ່ວນ),,
