odm_dataset_schema,,,,,,,,
field_name,label,en,Context,th,km,vi,my,lo
title_translated,label,Title,title_translated.label,หัวข้อ,ចំណងជើង,Tiêu đề,ခေါင်းစဥ်,ຊື່ຊຸດຂໍ້ມູນ
title_translated,form_placeholder,Name given to the dataset.,title_translated.form_placeholder,ชื่อสำหรับชุดข้อมูล,ឈ្មោះបានផ្តល់ទៅសំណុំទិន្នន័យ,[[VI]] Name given to this dataset,ဤအချက်အလက်အစုကို ပေးထားသောအမည်,ຊື່ຂອງຊຸດຂໍ້ມູນ
name,label,URL,name.label,URL,អាសយដ្ឋាន URL,URL,ယူအာရ်အယ်လ်,URL
notes_translated,label,Abstract,notes_translated.label,บทคัดย่อ,ការពិពណ៌នា,Mô tả,ကောက်နုတ်ချက်,ບົດຄັດຫຍໍ້
notes_translated,form_placeholder,Short description explaining the content and its origins.,notes_translated.form_placeholder,คำอธิบายเนื้อหาและที่มาอย่างย่อ,ការពិពណ៌នាខ្លីដែលពន្យល់អំពីមាតិកា និងប្រភពដើមរបស់វា។,Mô tả ngắn gọn nhằm giải thích nội dung và nguồn gốc của bộ dữ liệu.,မာတိကာနှင့် ၎င်း၏မူလအကြောင်းအရာများကို ရှင်းပြထားသော အကျဉ်းချုပ်ဖော်ပြချက်,ອະທິບາຍຫຍໍ້ກ່ຽວກັບເນື້ອໃນ ແລະ ແຫຼ່ງທີ່ມາ
taxonomy,label,Dataset topic category,taxonomy.label,หมวดหมู่หัวข้อของชุดข้อมูล,ចំណាត់ថ្នាក់ប្រធានបទនៃសំណុំទិន្នន័យ,Loại chủ đề của bộ dữ liệu,အချက်အလက်အစု ခေါင်းစဉ်အမျိုးအစား,ປະເພດຫົວຂໍ້ຊຸດຂໍ້ມູນ
taxonomy,form_placeholder,"e.g. economy, mental health, government",taxonomy.form_placeholder,เช่น เศรษฐกิจ สุขภาพจิต รัฐบาล เป็นต้น,ឧ. សេដ្ឋកិច្ច សុខភាពផ្លូវចិត្ត រដ្ឋាភិបាល,"ví dụ: kinh tế, sức khỏe tinh thần, chính phủ",ဥပမာ စီးပွားရေး၊ စိတ်ကျန်းမာရေး၊ အစိုးရ,"ເຊັ່ນ: ເສດຖະກິດ, ສຸຂະພາບຈິດ, ລັດຖະບານ"
MD_DataIdentification_language,label,Language,MD_DataIdentification_language.label,ภาษา,ភាសា,Ngôn ngữ,ဘာသာစကား,ພາສາ
MD_DataIdentification_language,form_placeholder,"Language(s) of the dataset, including resources within dataset.",MD_DataIdentification_language.form_placeholder,ภาษาต่าง ๆ ของชุดข้อมูล รวมถึง ทรัพยากรภายในชุดข้อมูล,ភាសា (ច្រើន) នៃសំណុំទិន្នន័យរួមទាំងធនធាននៅក្នុងសំណុំទិន្នន័យ។,"(Các) Ngôn ngữ của bộ dữ liệu, bao gồm các tài nguyên trong bộ dữ liệu.",အချက်အလက်အစုရှိ အရင်းအမြစ်များ အပါအဝင် အချက်အလက်အစု၏ ဘာသာစကား(များ),ພາສາຂອງຊຸດຂໍ້ມູນ ລວມທັງແຫຼ່ງຂໍ້ມູນພາຍໃນຊຸດຂໍ້ມູນ
